"n","lambda","adj_x_bar","KLD","BC","Fc","eta_x_R_plus","derrorAB_dn","derrorBC_dn","x_bar"
4.5,1,100,Inf,0.453072970338962,0.989826807190683,1.02068228406218,0.251849896599342,-0.142721921509356,95.3259976339221
5,1,100,Inf,0.423699468240326,0.992724404937311,1.30758815562077,0.246415567282306,-0.178598255508325,104.349218544731
5.5,1,100,Inf,0.414742777197279,0.993673638298936,1.61737143175949,0.232335675169966,-0.180417467148807,97.113583992183
6,1,100,Inf,0.389593539289909,0.995478367187552,2.17555629385722,0.253357076035876,-0.276383285262604,101.196667172738
6.5,1,100,Inf,0.373824173640722,0.995484938881427,2.18779680894874,0.188967974443413,-0.156214351163161,100.77761489228
7,1,100,Inf,0.340563754741533,0.997053953462407,3.08048323826862,0.196974926082179,-0.187418269100973,109.865214231187
7.5,1,100,Inf,0.326233655717487,0.998504181593807,5.8264274255866,0.258542493612843,-0.301249751009481,114.569409259454
8,1,100,Inf,0.301391644517894,0.999058516829428,7.1707185585771,0.286264232702256,-0.349188782143839,147.984315461987
8.5,1,100,Inf,0.283753919545657,0.999291826788538,10.5053705747717,0.274521337474817,-0.329480368451362,134.320241597492
9,1,100,Inf,0.320123138534948,0.997905294301138,6.0527569592117,0.170331938532006,-0.192903204750591,78.706948830235
9.5,1,100,Inf,0.285877173657511,0.99879991068181,7.9021191786753,0.185002647315809,-0.2282251591776,105.322546093014
10,1,100,Inf,0.254521335286147,0.99983342195202,50.5270023724639,0.278248269566206,-0.296248799654961,118.791768521634
1,5,100,0.134956443535659,0.97373050996763,0.492301486258458,0.00966420057140741,0.485786469178695,-0.00532977052398942,100.336586061012
1.5,5,100,0.566028876141956,0.920630813794932,0.694238296898518,0.0229468692754154,0.460578998407243,-0.0159214141177488,98.9468646278945
2,5,100,1.23813432156609,0.859190692105721,0.805944073127074,0.0414294263033072,0.398205131746945,-0.0155209648849038,100.246466823908
2.5,5,100,2.06096647821482,0.809383385711494,0.861016965321479,0.0625653346924215,0.340668307868925,-0.0202905477619808,99.0184551675119
3,5,100,3.27339736938125,0.763927660092759,0.900617816118734,0.0890137654795784,0.304302399278414,-0.0281816800408096,101.806340094138
3.5,5,100,4.70949560581718,0.719512370025164,0.925884581807178,0.125269450746536,0.270272054714217,-0.0316828385866567,99.7247865554757
4,5,100,6.23195787003614,0.684982943144867,0.941935245869325,0.164770419076774,0.245573781631221,-0.0386958102363445,98.4530580242714
4.5,5,100,7.85373829255743,0.651432613609251,0.952311459203531,0.204192150319123,0.219327133862282,-0.0384761288153139,97.7970903217267
5,5,100,11.5462877951289,0.601798318787752,0.966674655414981,0.27302645308822,0.203643633974357,-0.0429031710378619,106.243154349833
5.5,5,100,Inf,0.592044418768618,0.975490612334701,0.40682511088435,0.244568862179127,-0.162144942545953,97.8324392073192
